Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0052741,0.002479,0.057207,0,0,0,0.10866,8.6558E-05,1.592E-07,2.7057E-06,5.5287E-05,-4.058E-07,4.1066E-05,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/base_link.STL,,DH116-R005-B3-手心外壳-3;DH116-R002-B1-亚克力透明圈-1;DH116-R007-B2-手背外壳-1;DH116-R001-D2-手指模块安装板-1;DH116-R201-B1-拇指右座-1;DH116-R102-D1-电机安装座-4;DH116-R102-D1-电机安装座-3;DH116-R102-D1-电机安装座-2;DH116-R102-D1-电机安装座-1;DH116-R004-B2-手心橡胶垫内凹-1,base_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger11_link,0.0078225,0.0020462,-0.0025622,0,0,0,0.010254,7.2142E-07,-1.1025E-07,1.8578E-07,1.1141E-06,4.8596E-08,1.144E-06,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger11_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger11_link.STL,,DH116-R206-B1-拇指转轴-2,finger11_CS,finger11-axis,finger11,revolute,0.018,0.021747,0.043279,-0.087266,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
finger12_link,0.0014182,-1.2893E-06,0.024329,0,0,0,0.010145,2.4795E-06,2.3633E-11,-9.1895E-08,2.2943E-06,4.4162E-11,8.8906E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger12_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger12_link.STL,,DH116-R205-C1-大拇指节-2,finger12_CS,finger12-axis,finger12,revolute,0.018876,0.0049375,-0.0056093,0,0.95149,0.25585,finger11_link,0,-1,0,0,0,0,1.57,,,,,,,,
finger13_link,0.0064864,-1.72E-06,0.014709,0,0,0,0.020548,2.4642E-06,2.2654E-10,-1.276E-07,2.3555E-06,3.4328E-10,8.7678E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger13_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger13_link.STL,,DH116-R202-B1-大拇指-2,finger13_CS,finger13-axis,finger13,revolute,0,0,0.045,0,0,0,finger12_link,0,-1,0,0,0,0,1.57,,,,,,,,
finger14_link,0.0030983,8.624E-07,0.024752,0,0,0,0.00064654,4.6206E-08,-1.7511E-11,-7.0078E-09,3.0972E-08,3.3703E-12,3.328E-08,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger14_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger14_link.STL,,DH116-R215-大拇指胶垫-2,finger13_CS,finger13-axis,finger14,fixed,0,0,0,0,0,0,finger13_link,0,0,0,0,0,0,1.57,,,,,,,,
finger21_link,-0.0017978,3.2789E-07,0.018686,0,0,0,0.0067143,1.1951E-06,6.7451E-12,-4.4967E-09,1.0688E-06,-2.4168E-12,3.7304E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger21_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger21_link.STL,,DH116-R101-C1-食指节-1,finger21_CS,finger21-axis,finger21,revolute,-0.011581,0.031971,0.10003,-0.052657,0.10625,-0.0055894,base_link,0,1,0,0,0,0,1.57,,,,,,,,
finger22_link,-0.0019337,7.2998E-07,0.02175,0,0,0,0.014789,1.4665E-06,1.1416E-11,-1.6584E-07,1.4889E-06,-9.2753E-11,3.5281E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger22_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger22_link.STL,,DH116-R112-B1-食指-1,finger22_CS,finger22-axis,finger22,revolute,0,0,0.035,0,0,0,finger21_link,0,1,0,0,0,0,1.57,,,,,,,,
finger23_link,0.0027534,-5.1038E-07,0.027456,0,0,0,0.00083419,1.0852E-07,-2.4081E-13,-9.2843E-09,9.6252E-08,-2.9524E-12,2.404E-08,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger23_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger23_link.STL,,DH116-R113-食指胶垫-1,finger22_CS,finger22-axis,finger23,fixed,0,0,0,0,0,0,finger22_link,0,0,0,0,0,0,1.57,,,,,,,,
finger31_link,-0.0017978,3.3269E-07,0.018686,0,0,0,0.0067141,1.1951E-06,1.1431E-11,-4.4917E-09,1.0688E-06,8.2241E-12,3.7303E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger31_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger31_link.STL,,DH116-R101-C1-食指节-2,finger31_CS,finger31-axis,finger31,revolute,-0.013501,0.0105,0.10286,0,0.10214,0,base_link,0,1,0,0,0,0,1.57,,,,,,,,
finger32_link,-0.0021242,6.6141E-08,0.024943,0,0,0,0.017444,4.1711E-06,1.8194E-11,-2.6488E-07,4.1927E-06,-1.6389E-11,4.4322E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger32_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger32_link.STL,,DH116-R130-B1-中指-1,finger32_CS,finger32-axis,finger32,revolute,0,0,0.035,0,0,0,finger31_link,0,1,0,0,0,0,1.57,,,,,,,,
finger33_link,0.0025776,-4.8031E-07,0.03447,0,0,0,0.00083416,1.0861E-07,1.3942E-12,-8.8309E-09,9.6246E-08,-5.9916E-13,2.3939E-08,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger33_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger33_link.STL,,DH116-R113-食指胶垫-2,finger32_CS,finger32-axis,finger33,fixed,0,0,0,0,0,0,finger32_link,0,0,0,0,0,0,1.57,,,,,,,,
finger41_link,-0.0017978,2.8835E-07,0.018686,0,0,0,0.006714,1.1951E-06,1.5194E-11,-4.4902E-09,1.0688E-06,1.057E-11,3.7303E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger41_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_control_description/models/DH116-R000-A1/meshes/finger41_link.STL,,DH116-R101-C1-食指节-3,finger41_CS,finger41-axis,finger41,revolute,-0.015081,-0.010971,0.10183,0.052889,0.14148,0.0074648,base_link,0,1,0,0,0,0,1.57,,,,,,,,
