Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000384322111287069,0.00753084251208742,0.0472909739889326,0,0,0,0.109379461925353,4.8658626062114E-05,1.90165367140657E-07,4.76749750234747E-07,6.96839906122602E-05,-2.36133057842731E-06,3.07683899448741E-05,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/base_link.STL,,DH116S-R003-A1-结构件 右手心硅胶套 116SR003 硅胶 手感漆_RoHS_A1-1;DH116S-R004-A1-结构件 法兰 116SR004 7075 阳极 黑色_RoHS_A1-1;DH116S-R006-A1-结构件 环形导光圈 116SR006 PC 喷砂180目 透明_RoHS_A1-1;DH116S-R500-A1_结构件 小拇指模组-1/DH116S-R201-A1_结构件 电机座 116SR201 7075 阳极_RoHS_A1-1;DH116S-R400-A1_结构件 无名指模组-1/DH116S-R201-A1_结构件 电机座 116SR201 7075 阳极_RoHS_A1-1;DH116S-R300-A1_结构件 中指模组-2/DH116S-R201-A1_结构件 电机座 116SR201 7075 阳极_RoHS_A1-1;DH116S-R200-A1_结构件 食指模组-3/DH116S-R201-A1_结构件 电机座 116SR201 7075 阳极_RoHS_A1-1;DH116S-R100-A1_结构件 大拇指模组-1/DH116S-R012-A1_结构件 右手拇指底座 116SR012 6061 阳极_RoHS_A_94800049-1;DH116S-R001-A2-结构件 右手背壳 116SR001 6061 阳极 灰色_RoHS_A_97010035-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger11_link,-0.000106936701499152,-0.00887532166965714,0.00188503573341194,0,0,0,0.00704884300354655,9.65962069608261E-07,-1.44438396657121E-08,-2.78802353633112E-08,9.82359201731221E-07,1.16859938665557E-07,2.90732053006428E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger11_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger11_link.STL,,DH116S-R100-A1_结构件 大拇指模组-1/DH116S-R011-A2_结构件 右手拇指摆动座 116SR011 304 阳极_RoHS_A_94800050-1,finger11_CS,finger11-axis,finger11,revolute,0.019011443942029,-0.00780399999999971,0.0343199999999998,0,0,1.4189526818714,base_link,0,0,1,0,0,0,1.588,,,,,,,,
finger12_link,0.00575146979629403,-0.00980743444616855,0.019859071306553,0,0,0,0.00572064501582461,1.07119834760592E-06,4.58213387989754E-08,-7.67707579266534E-08,1.23181109053526E-06,3.23507378708491E-07,6.0079268566964E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger12_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger12_link.STL,,DH116S-R100-A1_结构件 大拇指模组-1/DH116S-R008-A1_结构件 拇指指节 116SR008 6061 阳极 灰色_RoHS_A_97010020-组合22-1,finger12_CS,finger12-axis,finger12,revolute,-0.00241716818193387,-0.0149999999957004,0.00671430739411609,0.914460600969039,-0.26179938779915,0,finger11_link,-1,0,0,0,0,0,1.030,,,,,,,,
finger13_link,0.00252081313880359,-0.00372563202308732,0.00904163814125886,0,0,0,0.00512347606012059,2.40947986098038E-07,-5.09796574066595E-10,-9.60704042330482E-10,3.07751181192004E-07,-7.35260411693152E-09,1.61697663271219E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger13_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger13_link.STL,,DH116S-R100-A1_结构件 大拇指模组-1/DH116S-R111-A1_结构件 大拇指尖 116SR111 6061 喷油_RoHS_A1-2,finger13_CS,finger13-axis,finger13,revolute,0.00598654106733671,-0.0125165261747051,0.0381626484720598,0.382919042912385,0.147573481949468,0.0154304498115495,finger12_link,-1,0,0,0,0,0,1.13,,,,,,,,
finger14_link,0.00249769126018826,0.00167067101210644,0.0123801371744446,0,0,0,0.00240482348656883,6.51224324821768E-08,-2.76696868457692E-10,-6.12678170657889E-10,9.9767942266961E-08,3.06755746735259E-09,5.5208299164458E-08,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger14_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger14_link.STL,,DH116S-R100-A1_结构件 大拇指模组-1/DH116S-R112-A1_结构件 拇指胶垫 116SR112 硅胶 手感漆_RoHS_A1-2,finger13_CS,finger13-axis,finger14,fixed,0,0,0,0,0,0,finger13_link,0,0,0,0,0,0,0,,,,,,,,
finger21_link,0.00027210041910733,0.00170234735088368,0.014516323212758,0,0,0,0.00393774528740839,3.16719166363702E-07,4.75695190346559E-09,1.33068275020846E-09,3.45533063039298E-07,7.7985196786372E-09,1.51382459897184E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger21_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger21_link.STL,,DH116S-R200-A1_结构件 食指模组-3/DH116S-R214-A1_结构件 食指节 116SR214 6061 喷油_RoHS_A1-1,finger21_CS,finger21-axis,finger21,revolute,0.0262687686016299,0.00528244145664834,0.0838772330726273,0.184030828348921,0.0900710961718212,0,base_link,-0.987181729894842,0.159600226070725,0,0,0,0,1.257,,,,,,,,
finger22_link,0.000180892622891587,0.00133699393436336,0.010912976228776,0,0,0,0.00359509305446838,3.71495920772452E-07,3.3566423592835E-10,8.81868087157963E-09,3.74339102526511E-07,4.09550241976548E-08,6.27179802580373E-08,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger22_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger22_link.STL,,DH116S-R200-A1_结构件 食指模组-3/DH116S-R212-A1_结构件 食指尖 116SR212 6061 喷油_RoHS_A1-4,finger22_CS,finger22-axis,finger22,revolute,0,0,0.028026675184573,0,0,0,finger21_link,-0.987181729894842,0.159600226070725,0,0,0,0,1.75,,,,,,,,
finger23_link,-0.000690109619396834,-0.00377783340062988,0.0191163501361598,0,0,0,0.00194916130998001,9.25442673743886E-08,3.79093542922402E-10,3.55204790224285E-09,9.46455434630362E-08,2.17891055188829E-08,3.02508825822761E-08,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger23_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger23_link.STL,,DH116S-R200-A1_结构件 食指模组-3/DH116S-R211-A1_结构件 食指胶垫 116SR211 硅胶 手感漆_RoHS_A1-3,finger22_CS,finger22-axis,finger23,fixed,0,0,0,0,0,0,finger22_link,0,0,0,0,0,0,0,,,,,,,,
finger31_link,-2.41743304470188E-06,0.0016881536103133,0.0166092629083552,0,0,0,0.00465632374460654,4.64032038497059E-07,-6.14756143609671E-11,5.30642140220418E-11,4.96217078056825E-07,1.19847357277137E-08,1.78406731079551E-07,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger31_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger31_link.STL,,DH116S-R300-A1_结构件 中指模组-2/DH116S-R304-A1_结构件 中指节 116SR304 6061 喷油_RoHS_A1-1,finger31_CS,finger31-axis,finger31,revolute,0.00874401205559361,0.00650966935499851,0.0881661201014335,0.175821944347936,0.05205044550937,-0.0495268334341439,base_link,-1,0,0,0,0,0,1.257,,,,,,,,
finger32_link,-4.52052482557974E-07,0.000239188481448136,0.0125647103929899,0,0,0,0.00396485659955852,5.13613810914939E-07,-3.89316581101276E-10,1.51691231313048E-09,5.04420042058448E-07,9.32849272033081E-08,8.36320010149996E-08,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger32_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hand_control_description/models/DH116S-R000-A1/meshes/finger32_link.STL,,DH116S-R300-A1_结构件 中指模组-2/DH116S-R302-A1_结构件 中指尖 116SR302 6061 喷油_RoHS_A1-1,finger32_CS,finger32-axis,finger32,revolute,0,-0.000265259842373017,0.0325298807757662,0,0,0,finger31_link,-1,0,0,0,0,0,1.75,,,,,,,,
