Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.004908,-0.0023087,0.053425,0,0,0,0.11674,8.8343E-05,-1.5779E-07,2.7103E-06,5.7065E-05,4.0956E-07,4.4559E-05,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/base_link.STL,,镜向DH116-R004-B2-手心橡胶垫内凹1-1;镜向DH116-R005-B3-手心外壳1-1;镜向DH116-R201-B1-拇指右座1-1;镜向DH116-R001-D2-手指模块安装板1-1;镜向DH116-R002-B1-亚克力透明圈1-1;镜向DH116-R007-B2-手背外壳1-1;镜向DH116-R102-D1-电机安装座1-1;镜向DH116-R102-D1-电机安装座1-2;镜向DH116-R102-D1-电机安装座1-3;镜向DH116-R102-D1-电机安装座1-4,base_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger11_link,0.0078225,-0.0020462,0.00068777,0,0,0,0.010254,7.2141E-07,1.1025E-07,1.8578E-07,1.1141E-06,-4.8596E-08,1.144E-06,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger11_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger11_link.STL,,镜向DH116-R206-B1-拇指转轴1-1,finger11_CS,finger11-axis,finger11,revolute,0.018,-0.021464,0.040041,0.087266,0,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
finger12_link,0.001442,5.4239E-07,0.024371,0,0,0,0.010117,2.4721E-06,3.5819E-11,-8.7771E-08,2.2849E-06,1.0447E-12,8.8673E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger12_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger12_link.STL,,镜向DH116-R205-C1-大拇指节1-2,finger12_CS,finger12-axis,finger12,revolute,0.018876,-0.0049375,-0.0023593,0,0.95149,-0.25585,finger11_link,0,-1,0,0,0,0,1.57,,,,,,,,
finger13_link,0.0064864,1.9023E-06,0.014709,0,0,0,0.020548,2.4642E-06,-1.8605E-10,-1.2758E-07,2.3554E-06,-2.9766E-10,8.7678E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger13_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger13_link.STL,,镜向DH116-R202-B1-大拇指1-1,finger13_CS,finger13-axis,finger13,revolute,0,0,0.045,0,0,0,finger12_link,0,-1,0,0,0,0,1.57,,,,,,,,
finger14_link,0.0030983,6.4415E-07,0.024752,0,0,0,0.00063385,4.5297E-08,-1.7549E-11,-6.8692E-09,3.0365E-08,3.6154E-12,3.2628E-08,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger14_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger14_link.STL,,镜向DH116-R215-大拇指胶垫1-1,finger13_CS,finger13-axis,finger14,fixed,0,0,0,0,0,0,finger13_link,0,0,0,0,0,0,1.57,,,,,,,,
finger21_link,-0.0017977,4.517E-07,0.018685,0,0,0,0.0067138,1.195E-06,4.4817E-12,-4.5105E-09,1.0687E-06,1.3869E-11,3.7302E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger21_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger21_link.STL,,镜向DH116-R101-C1-食指节1-1,finger21_CS,finger21-axis,finger21,revolute,-0.011581,-0.031971,0.10003,0.052657,0.10625,0.0055894,base_link,0,1,0,0,0,0,1.57,,,,,,,,
finger22_link,-0.001934,-4.4573E-07,0.02175,0,0,0,0.014791,1.4669E-06,-1.8909E-11,-1.6607E-07,1.4892E-06,5.6761E-11,3.5283E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger22_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger22_link.STL,,镜向DH116-R112-B1-食指1-1,finger22_CS,finger22-axis,finger22,revolute,0,0,0.035,0,0,0,finger21_link,0,1,0,0,0,0,1.57,,,,,,,,
finger23_link,0.0027522,-5.9223E-07,0.027469,0,0,0,0.00081811,1.0639E-07,-3.5393E-13,-9.0804E-09,9.4373E-08,7.1781E-12,2.3583E-08,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger23_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger23_link.STL,,镜向DH116-R113-食指胶垫1-1,finger22_CS,finger22-axis,finger23,fixed,0,0,0,0,0,0,finger22_link,0,0,0,0,0,0,1.57,,,,,,,,
finger31_link,-0.0017977,3.6375E-07,0.018685,0,0,0,0.0067137,1.195E-06,7.1207E-12,-4.5072E-09,1.0687E-06,1.6816E-11,3.7302E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger31_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger31_link.STL,,镜向DH116-R101-C1-食指节1-2,finger31_CS,finger31-axis,finger31,revolute,-0.013501,-0.0105,0.10286,0,0.10214,0,base_link,0,1,0,0,0,0,1.57,,,,,,,,
finger32_link,-0.0021235,-2.8524E-07,0.024937,0,0,0,0.017437,4.1693E-06,-2.5515E-11,-2.6509E-07,4.1909E-06,9.5471E-11,4.4314E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger32_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger32_link.STL,,镜向DH116-R130-B1-中指1-1,finger32_CS,finger32-axis,finger32,revolute,0,0,0.035,0,0,0,finger31_link,0,1,0,0,0,0,1.57,,,,,,,,
finger33_link,7.153E-07,-0.0067137,-0.037473,0,0,0,0.00081807,9.4367E-08,7.2819E-13,7.4794E-12,1.0642E-07,-8.9658E-09,2.3554E-08,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger33_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger33_link.STL,,镜向DH116-R113-食指胶垫1-2,Origin_finger33,,finger33,fixed,0,0,0,0,0,0,finger32_link,0,0,0,0,0,0,1.57,,,,,,,,
finger41_link,-0.0017978,4.6307E-07,0.018685,0,0,0,0.0067137,1.195E-06,-3.5541E-12,-4.505E-09,1.0687E-06,6.8595E-13,3.7301E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger41_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger41_link.STL,,镜向DH116-R101-C1-食指节1-3,finger41_CS,finger41-axis,finger41,revolute,-0.015081,0.010971,0.10183,-0.052889,0.14148,-0.0074648,base_link,0,1,0,0,0,0,1.57,,,,,,,,
finger42_link,-0.00099518,-3.8607E-07,0.021813,0,0,0,0.014791,1.4505E-06,-2.9273E-11,-2.1339E-07,1.4892E-06,6.1801E-11,3.692E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger42_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger42_link.STL,,镜向DH116-R112-B1-食指1-2,finger42_CS,finger42-axis,finger42,revolute,0,0,0.035,0,0,0,finger41_link,0,1,0,0,0,0,1.57,,,,,,,,
finger43_link,0.0039329,-6.1523E-07,0.027325,0,0,0,0.00081812,1.0545E-07,-2.6832E-13,-1.261E-08,9.4369E-08,6.0613E-12,2.452E-08,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger43_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger43_link.STL,,镜向DH116-R113-食指胶垫1-3,finger42_CS,finger42-axis,finger43,fixed,0,0,0,0,0,0,finger42_link,0,0,0,0,0,0,1.57,,,,,,,,
finger51_link,-0.0017977,3.5129E-07,0.018685,0,0,0,0.0067139,1.195E-06,2.1372E-12,-4.5117E-09,1.0687E-06,5.8565E-12,3.7302E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger51_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger51_link.STL,,镜向DH116-R101-C1-食指节1-4,finger51_CS,finger51-axis,finger51,revolute,-0.013081,0.032156,0.097798,-0.078754,0.073706,-0.0058113,base_link,0,1,0,0,0,0,1.57,,,,,,,,
finger52_link,-0.0024418,-8.1825E-07,0.016654,0,0,0,0.010439,1.3354E-06,-3.1558E-11,-1.1834E-07,1.3473E-06,7.0815E-11,2.4653E-07,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger52_link.STL,1,1,1,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger52_link.STL,,镜向DH116-R301-B1-小拇指1-1,finger52_CS,finger52-axis,finger52,revolute,0,0,0.035,0,0,0,finger51_link,0,1,0,0,0,0,1.57,,,,,,,,
finger53_link,0.0021844,1.1224E-06,0.022782,0,0,0,0.00058044,4.4456E-08,1.8383E-12,-3.5021E-09,3.5896E-08,-1.5936E-12,1.5583E-08,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger53_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://lhandpro_description/models/DH116-L000-A1/meshes/finger53_link.STL,,镜向DH116-R302-小拇指胶垫1-1,finger52_CS,finger52-axis,finger53,fixed,0,0,0,0,0,0,finger52_link,0,0,0,0,0,0,1.57,,,,,,,,
